startTs,successful_connections,total_failures,assoc_failures,auth_failures,dhcp_failures,dns_failures
00:00:00,8,12,1,11,0,0
01:00:00,8,9,0,9,0,0
02:00:00,5,11,0,11,0,0
03:00:00,5,11,0,11,0,0
04:00:00,28,6,0,6,0,0
05:00:00,214,19,3,14,1,1
06:00:00,2205,212,91,119,2,0
07:00:00,7531,1250,584,639,5,22
08:00:00,11585,2277,895,1336,12,34
09:00:00,11275,2579,811,1741,17,10
10:00:00,13827,2240,925,1291,13,11
11:00:00,12448,3024,1001,1996,15,12
12:00:00,12176,3233,1975,1231,17,10
13:00:00,13509,1976,632,1317,11,16
14:00:00,12956,2413,691,1700,10,12
15:00:00,12361,4128,1086,3012,17,13
16:00:00,9197,1791,570,1215,2,4
17:00:00,3447,531,141,384,0,6
18:00:00,2042,231,53,177,0,1
19:00:00,264,60,4,56,0,0
20:00:00,187,75,5,70,0,0
21:00:00,147,39,0,39,0,0
22:00:00,32,4,0,4,0,0
